Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Annotation	Annotation
Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Timestamp	Sync Timestamp	Offset Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Pulse	Level
CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	Pulse	Level
mSecs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	mSecs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	mSecs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	mSecs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	mSecs	secs	secs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	mSecs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	mSecs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	Boolean	Boolean
242031.2500	0.9029	20.3960	-8.1834	-1.4639	9.1850	3.7959	-0.3143	-0.5592	-0.7462	242031.2500	-1.0566	2.9906	-0.0441	0.5846	9.7976	0.2439	-0.2654	-0.6680	-0.4301	242031.2500	-0.6044	0.7342	-0.3667	-0.7226	4.2549	-8.7028	-0.3501	-0.0646	0.6211	242031.2500	0.3980	0.1724	5.8530	-0.1169	9.5263	2.9373	0.2490	-0.6584	0.1358	242031.2500	3509012338.6490	3509012096.6177	1.1453	4.3138	-5.8383	2.2017	9.5160	0.9357	0.2694	-0.6298	0.3642	242031.2500	0.6303	-0.0722	-0.9648	-0.0764	5.8626	-8.0125	-0.8340	1.7059	0.5516	242031.2500	5.1929	-0.4692	-2.4656	0.0329	9.6343	-1.5654	0.2931	-0.7701	-0.3249	0.0000	0.0000
242041.0156	-3.5646	10.3762	-4.7348	-1.4661	9.0322	3.5718	-0.3105	-0.5534	-0.7679	242041.0156	-1.0566	2.9906	-0.0441	0.7438	9.6431	0.4042	-0.2731	-0.6738	-0.4538	242041.0156	-0.7504	0.2266	-0.2183	-0.7226	4.1772	-8.6252	-0.3561	-0.0813	0.6123	242041.0156	0.3980	0.1724	5.8530	-0.1928	9.5263	3.0924	0.2333	-0.6872	0.1499	242041.0156	3509012338.6588	3509012096.6177	1.1453	4.3138	-5.8383	1.8888	9.5938	0.9349	0.2592	-0.6362	0.4042	242041.0156	0.2918	-0.0430	-0.4741	0.1599	6.0165	-8.0203	-0.8600	1.7164	0.5728	242041.0156	5.1929	-0.4692	-2.4656	0.1125	9.6343	-1.5654	0.2931	-0.7567	-0.3226	0.0000	0.0000
242050.7812	-3.5646	10.3762	-4.7348	-1.3857	8.8795	3.6477	-0.3181	-0.5631	-0.7375	242050.7812	-1.0566	2.9906	-0.0441	0.5050	9.7187	0.1668	-0.2673	-0.6621	-0.4323	242050.7812	-0.7504	0.2266	-0.2183	-0.8005	4.3333	-8.7028	-0.3561	-0.0813	0.6123	242050.7812	0.3980	0.1724	5.8530	-0.3460	9.3735	3.2499	0.2333	-0.6872	0.1499	242050.7812	3509012338.6685	3509012096.6177	1.1453	4.3138	-5.8383	1.6540	9.6723	1.0132	0.2673	-0.6489	0.3832	242050.7812	0.2918	-0.0430	-0.4741	0.0023	6.0166	-8.0171	-0.8600	1.7164	0.5728	242050.7812	5.1929	-0.4692	-2.4656	-0.0460	9.6351	-1.4876	0.2820	-0.7720	-0.3272	0.0000	0.0000
242060.5469	-3.5646	10.3762	-4.7348	-0.9857	8.8031	3.7949	-0.3105	-0.5689	-0.7657	242060.5469	-1.0208	-1.8939	0.2080	0.3458	9.7983	0.3225	-0.2615	-0.6641	-0.4344	242060.5469	-0.7504	0.2266	-0.2183	-0.8005	4.2557	-8.6252	-0.3763	-0.0771	0.6344	242060.5469	0.3980	0.1724	5.8530	-0.2694	9.2971	3.1727	0.2431	-0.7202	0.1405	242060.5469	3509012338.6783	3509012096.6177	1.1785	-0.5926	-2.5178	1.6540	9.7477	0.7754	0.2673	-0.6489	0.3832	242060.5469	0.2918	-0.0430	-0.4741	0.0031	6.0181	-7.9376	-0.8140	1.7101	0.5423	242060.5469	4.6943	0.1059	-3.6428	-0.2052	9.7115	-1.4884	0.3043	-0.7969	-0.3226	0.0000	0.0000
242070.3125	-1.1575	6.4399	-1.7936	-1.1451	8.9558	3.7950	-0.3143	-0.5398	-0.7397	242070.3125	-1.0208	-1.8939	0.2080	0.1866	9.7991	0.4011	-0.2615	-0.6641	-0.4344	242070.3125	-0.3896	0.1482	-0.3139	-0.8005	4.3341	-8.6260	-0.3642	-0.0708	0.6189	242070.3125	1.8827	7.2624	2.0350	-0.1920	9.4499	3.1704	0.2471	-0.6605	0.1218	242070.3125	3509012338.6881	3509012096.6177	1.1785	-0.5926	-2.5178	1.6540	9.6684	0.6181	0.2633	-0.6234	0.3621	242070.3125	-0.4570	0.0314	-0.4374	0.0820	5.9411	-7.9376	-0.8400	1.7353	0.5540	242070.3125	4.6943	0.1059	-3.6428	-0.0483	9.8621	-1.7232	0.2764	-0.7950	-0.3295	0.0000	0.0000
242080.0781	-1.1575	6.4399	-1.7936	-1.0647	9.0322	3.8686	-0.3086	-0.5379	-0.7592	242080.0781	-1.0208	-1.8939	0.2080	0.1866	9.8007	0.5583	-0.2558	-0.6602	-0.4538	242080.0781	-0.3896	0.1482	-0.3139	-0.8005	4.2557	-8.6252	-0.3642	-0.0708	0.6189	242080.0781	1.8827	7.2624	2.0350	-0.1904	9.3735	3.3255	0.2471	-0.6811	0.1569	242080.0781	3509012338.6978	3509012096.6177	1.1785	-0.5926	-2.5178	1.4976	9.6692	0.6971	0.2633	-0.6362	0.3895	242080.0781	-0.4570	0.0314	-0.4374	0.0039	5.9427	-7.8565	-0.8360	1.7374	0.5822	242080.0781	4.6943	0.1059	-3.6428	-0.1248	9.7888	-1.4114	0.2894	-0.7912	-0.3295	0.0000	0.0000
242089.8437	-1.1575	6.4399	-1.7936	-1.0639	8.9558	3.9446	-0.3124	-0.5320	-0.7289	242089.8437	-1.0246	2.5020	-0.4426	0.0274	9.7999	0.4797	-0.2769	-0.6445	-0.4323	242089.8437	-0.3896	0.1482	-0.3139	-0.7226	4.4125	-8.6275	-0.3682	-0.1000	0.6079	242089.8437	1.8827	7.2624	2.0350	-0.2694	9.3735	3.1719	0.2471	-0.6811	0.1569	242089.8437	3509012338.7076	3509012096.6177	0.6632	1.2772	-0.7224	1.4193	9.6692	0.6971	0.2673	-0.6404	0.3916	242089.8437	-0.4570	0.0314	-0.4374	0.0827	6.0197	-7.8596	-0.8360	1.7374	0.5822	242089.8437	3.1425	2.3157	-3.6717	-0.2856	9.8637	-1.5677	0.2783	-0.7510	-0.3203	0.0000	0.0000
