Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Annotation	Annotation
Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Timestamp	Sync Timestamp	Offset Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Pulse	Level
CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	Pulse	Level
mSecs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	mSecs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	mSecs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	mSecs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	mSecs	secs	secs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	mSecs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	mSecs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	Boolean	Boolean
2346816.4062	3.4091	0.0733	-0.5636	-1.1572	9.4905	2.5865	-0.3981	-0.6563	-0.5553	2348408.2031	-0.3848	1.0515	-0.1139	0.4254	9.7242	0.7171	-0.2846	-0.6562	-0.4753	2348408.2031	-0.0358	0.4745	0.0659	1.6131	5.1258	-7.8897	-0.5211	-0.1458	0.4912	2347890.6250	1.5919	0.4861	-0.1059	0.7319	9.4499	2.6979	0.2255	-0.7181	0.0328	2348408.2031	3509014444.9429	3509012096.5347	0.0637	0.3356	0.2790	0.4804	9.6818	1.9612	0.4184	-0.6745	0.2105	2348408.2031	0.1826	0.1284	-0.4726	-0.8675	5.3177	-8.3042	-0.7160	1.8929	0.5329	2345732.4219	2.6146	0.3935	-0.1804	0.2670	9.6296	-2.0319	0.2950	-0.7835	-0.2465	0.0000	0.0000
2346826.1719	3.3997	-0.0187	-0.2142	-1.3173	9.4905	2.5129	-0.4057	-0.6602	-0.5466	2348417.9687	-0.3848	1.0515	-0.1139	0.1866	9.6446	0.5614	-0.2808	-0.6328	-0.4989	2348417.9687	-0.0358	0.4745	0.0659	1.7689	5.1250	-7.9681	-0.5252	-0.1500	0.5022	2347900.3906	1.5919	0.4861	-0.1059	0.6561	9.5263	2.8523	0.2490	-0.7490	0.0398	2348417.9687	3509014444.9527	3509012096.5347	0.0637	0.3356	0.2790	0.5587	9.6802	1.8032	0.3918	-0.6723	0.1747	2348417.9687	0.1826	0.1284	-0.4726	-0.7887	5.3946	-8.3073	-0.7220	1.9244	0.5845	2345742.1875	3.0028	0.6508	-0.9081	0.2678	9.5539	-1.9534	0.3006	-0.8276	-0.2604	0.0000	0.0000
2346835.9375	3.3997	-0.0187	-0.2142	-1.2376	9.4141	2.5128	-0.4019	-0.6641	-0.5662	2348427.7344	0.0794	-0.0512	0.1179	0.2662	9.7242	0.7171	-0.3000	-0.6699	-0.4882	2348427.7344	0.1467	0.5398	-0.2241	1.6910	5.1250	-7.9673	-0.5352	-0.1417	0.5088	2347910.1562	1.5919	0.4861	-0.1059	0.6546	9.4499	2.6987	0.2314	-0.7119	0.0094	2348427.7344	3509014444.9624	3509012096.5347	0.0637	0.3356	0.2790	0.5587	9.6818	1.9612	0.4102	-0.6255	0.1916	2348427.7344	0.1200	0.3592	-0.4880	-0.8683	5.3161	-8.3837	-0.7220	1.9244	0.5845	2345751.9531	3.0028	0.6508	-0.9081	0.4278	9.4783	-1.8749	0.2857	-0.7854	-0.2442	0.0000	0.0000
2346845.7031	3.3997	-0.0187	-0.2142	-1.2376	9.4905	2.5121	-0.4000	-0.6699	-0.5445	2348437.5000	0.0794	-0.0512	0.1179	0.4254	9.8031	0.7941	-0.2808	-0.6152	-0.4710	2348437.5000	0.1467	0.5398	-0.2241	1.6910	5.1250	-7.9673	-0.5352	-0.1417	0.5088	2347919.9219	1.5919	0.4861	-0.1059	0.6538	9.4499	2.6215	0.2314	-0.7058	0.0094	2348437.5000	3509014444.9722	3509012096.5347	0.1676	0.2734	0.0027	0.4804	9.6818	1.9612	0.4102	-0.6255	0.1916	2348437.5000	0.1200	0.3592	-0.4880	-0.8675	5.3177	-8.3042	-0.7140	1.9139	0.5516	2345761.7187	3.0028	0.6508	-0.9081	0.2670	9.5532	-2.0311	0.3006	-0.7759	-0.2465	0.0000	0.0000
2346855.4687	2.7993	-0.9945	-0.4802	-1.0783	9.4905	2.5105	-0.4114	-0.6738	-0.5488	2348447.2656	0.0794	-0.0512	0.1179	0.2662	9.8038	0.8727	-0.2808	-0.6152	-0.4710	2348447.2656	0.1467	0.5398	-0.2241	1.6910	5.2034	-7.9681	-0.4990	-0.1000	0.4978	2347929.6875	1.8981	-0.0247	-0.1752	0.5006	9.4499	2.7775	0.2431	-0.7058	0.0351	2348447.2656	3509014444.9820	3509012096.5347	0.1676	0.2734	0.0027	0.4804	9.6041	1.9620	0.3939	-0.6532	0.2105	2348447.2656	0.1200	0.3592	-0.4880	-0.8691	5.3915	-8.4648	-0.7000	1.9055	0.5329	2345771.4844	1.0737	1.0141	-0.6339	0.5074	9.6312	-1.8764	0.2913	-0.8008	-0.2535	0.0000	0.0000
2346865.2344	2.7993	-0.9945	-0.4802	-1.2376	9.4905	2.5121	-0.4114	-0.6583	-0.5423	2348457.0312	-0.2636	0.2947	0.3733	0.4254	9.7250	0.7957	-0.2865	-0.6484	-0.5032	2348457.0312	0.1467	0.5398	-0.2241	1.7689	5.1250	-7.9681	-0.5272	-0.1187	0.5044	2347939.4531	1.8981	-0.0247	-0.1752	0.5772	9.5263	2.6987	0.2392	-0.7407	0.0398	2348457.0312	3509014444.9917	3509012096.5347	0.1676	0.2734	0.0027	0.4804	9.7580	1.8024	0.4061	-0.6277	0.1832	2348457.0312	0.1200	0.3592	-0.4880	-0.7895	5.3160	-8.3853	-0.7000	1.9055	0.5329	2345781.2500	1.0737	1.0141	-0.6339	0.5885	9.6327	-1.7209	0.3006	-0.7912	-0.2465	0.0000	0.0000
2346875.0000	2.7993	-0.9945	-0.4802	-1.1580	9.4905	2.5113	-0.4133	-0.6641	-0.5575	2348466.7969	-0.2636	0.2947	0.3733	0.0274	9.8038	0.8727	-0.2788	-0.6543	-0.4882	2348466.7969	0.1534	0.1206	0.0301	1.6131	5.1242	-8.0434	-0.5272	-0.1187	0.5044	2347949.2187	1.8981	-0.0247	-0.1752	0.5013	9.5263	2.8539	0.2471	-0.7263	0.0094	2348466.7969	3509014445.0015	3509012096.5347	-0.2758	0.9962	-0.1585	0.4804	9.6049	2.0410	0.4061	-0.6277	0.1832	2348466.7969	-0.0671	0.1989	-0.4658	-0.8683	5.2391	-8.3822	-0.7420	1.8739	0.5822	2345791.0156	1.0737	1.0141	-0.6339	0.4278	9.5547	-1.8756	0.2857	-0.7759	-0.2535	0.0000	0.0000
